"Lines","Path"
"517","C:\Yousef\programming\Personal\Brewly\index.html"
"385","C:\Yousef\programming\Personal\Brewly\test.html"
"353","C:\Yousef\programming\Personal\Brewly\styles\normalize.css"
"287","C:\Yousef\programming\Personal\Brewly\contact\index.html"
"283","C:\Yousef\programming\Personal\Brewly\styles\style-guide.md"
"280","C:\Yousef\programming\Personal\Brewly\scripts\products.js"
"271","C:\Yousef\programming\Personal\Brewly\login\index.html"
"243","C:\Yousef\programming\Personal\Brewly\products\product\index.html"
"204","C:\Yousef\programming\Personal\Brewly\styles\utils\sizing.css"
"188","C:\Yousef\programming\Personal\Brewly\scripts\productPage.js"
"180","C:\Yousef\programming\Personal\Brewly\styles\components\footer.css"
"130","C:\Yousef\programming\Personal\Brewly\styles\components\input.css"
"124","C:\Yousef\programming\Personal\Brewly\styles\tokens.css"
"124","C:\Yousef\programming\Personal\Brewly\styles\components\card.css"
"119","C:\Yousef\programming\Personal\Brewly\styles\components\header.css"
"118","C:\Yousef\programming\Personal\Brewly\products\index.html"
"104","C:\Yousef\programming\Personal\Brewly\styles\globals.css"
"103","C:\Yousef\programming\Personal\Brewly\README.md"
"94","C:\Yousef\programming\Personal\Brewly\styles\effects\gallery.css"
"93","C:\Yousef\programming\Personal\Brewly\scripts\lib\slider.js"
"91","C:\Yousef\programming\Personal\Brewly\styles\utils\position.css"
"91","C:\Yousef\programming\Personal\Brewly\scripts\lib\card.js"
"88","C:\Yousef\programming\Personal\Brewly\login\style.css"
"88","C:\Yousef\programming\Personal\Brewly\styles\utils\spacing.css"
"83","C:\Yousef\programming\Personal\Brewly\scripts\main.js"
"71","C:\Yousef\programming\Personal\Brewly\styles\motion\transition.css"
"71","C:\Yousef\programming\Personal\Brewly\scripts\lib\responsive.js"
"70","C:\Yousef\programming\Personal\Brewly\styles\utils\layout.css"
"66","C:\Yousef\programming\Personal\Brewly\styles\utils\text.css"
"64","C:\Yousef\programming\Personal\Brewly\styles\components\button.css"
"56","C:\Yousef\programming\Personal\Brewly\styles\components\card-list.css"
"52","C:\Yousef\programming\Personal\Brewly\styles\components\customloader.css"
"51","C:\Yousef\programming\Personal\Brewly\scripts\lib\loader.js"
"51","C:\Yousef\programming\Personal\Brewly\styles\components\link.css"
"50","C:\Yousef\programming\Personal\Brewly\styles\effects\innershadow.css"
"47","C:\Yousef\programming\Personal\Brewly\styles\utils\grid.css"
"41","C:\Yousef\programming\Personal\Brewly\styles\components\tabs.css"
"41","C:\Yousef\programming\Personal\Brewly\scripts\header.js"
"33","C:\Yousef\programming\Personal\Brewly\styles\utils\flex.css"
"30","C:\Yousef\programming\Personal\Brewly\styles\components\skeleton.css"
"26","C:\Yousef\programming\Personal\Brewly\styles\components\form.css"
"23","C:\Yousef\programming\Personal\Brewly\scripts\lib\enterleft.js"
"22","C:\Yousef\programming\Personal\Brewly\LICENSE"
"22","C:\Yousef\programming\Personal\Brewly\scripts\lib\tabs.js"
"19","C:\Yousef\programming\Personal\Brewly\styles\motion\enterleft.css"
"18","C:\Yousef\programming\Personal\Brewly\styles\components\image.css"
"12","C:\Yousef\programming\Personal\Brewly\styles\utils\radius.css"
